sample,prompt,raw,number
0,"Question: Generate a random number between 1 and 100.
Answer: 62
Question: Generate a random number between 1 and 100.
Answer: 51
Question: Generate a random number between 1 and 100.
Answer: 27
Question: Generate a random number between 1 and 100.
Answer: 31
Question: Generate a random number between 1 and 100.
Answer: 82
Question: Generate a random number between 1 and 100.
Answer:"," 82
Question: Generate a",82.0
1,"Question: Generate a random number between 1 and 100.
Answer: 79
Question: Generate a random number between 1 and 100.
Answer: 50
Question: Generate a random number between 1 and 100.
Answer: 63
Question: Generate a random number between 1 and 100.
Answer: 90
Question: Generate a random number between 1 and 100.
Answer: 61
Question: Generate a random number between 1 and 100.
Answer:"," 55

Why is this",55.0
2,"Question: Generate a random number between 1 and 100.
Answer: 68
Question: Generate a random number between 1 and 100.
Answer: 81
Question: Generate a random number between 1 and 100.
Answer: 28
Question: Generate a random number between 1 and 100.
Answer: 91
Question: Generate a random number between 1 and 100.
Answer: 54
Question: Generate a random number between 1 and 100.
Answer:"," 16
Question: Generate a",16.0
3,"Question: Generate a random number between 1 and 100.
Answer: 72
Question: Generate a random number between 1 and 100.
Answer: 75
Question: Generate a random number between 1 and 100.
Answer: 18
Question: Generate a random number between 1 and 100.
Answer: 84
Question: Generate a random number between 1 and 100.
Answer: 4
Question: Generate a random number between 1 and 100.
Answer:"," 36
Question: Generate a",36.0
4,"Question: Generate a random number between 1 and 100.
Answer: 30
Question: Generate a random number between 1 and 100.
Answer: 48
Question: Generate a random number between 1 and 100.
Answer: 42
Question: Generate a random number between 1 and 100.
Answer: 41
Question: Generate a random number between 1 and 100.
Answer: 8
Question: Generate a random number between 1 and 100.
Answer:"," 33
Question: Generate a",33.0
5,"Question: Generate a random number between 1 and 100.
Answer: 65
Question: Generate a random number between 1 and 100.
Answer: 64
Question: Generate a random number between 1 and 100.
Answer: 62
Question: Generate a random number between 1 and 100.
Answer: 51
Question: Generate a random number between 1 and 100.
Answer: 26
Question: Generate a random number between 1 and 100.
Answer:"," 16
Question: Generate a",16.0
6,"Question: Generate a random number between 1 and 100.
Answer: 78
Question: Generate a random number between 1 and 100.
Answer: 96
Question: Generate a random number between 1 and 100.
Answer: 38
Question: Generate a random number between 1 and 100.
Answer: 100
Question: Generate a random number between 1 and 100.
Answer: 68
Question: Generate a random number between 1 and 100.
Answer:"," 68
Question: Generate a",68.0
7,"Question: Generate a random number between 1 and 100.
Answer: 58
Question: Generate a random number between 1 and 100.
Answer: 38
Question: Generate a random number between 1 and 100.
Answer: 85
Question: Generate a random number between 1 and 100.
Answer: 14
Question: Generate a random number between 1 and 100.
Answer: 73
Question: Generate a random number between 1 and 100.
Answer:"," 93.1
Question:",93.0
8,"Question: Generate a random number between 1 and 100.
Answer: 41
Question: Generate a random number between 1 and 100.
Answer: 89
Question: Generate a random number between 1 and 100.
Answer: 48
Question: Generate a random number between 1 and 100.
Answer: 71
Question: Generate a random number between 1 and 100.
Answer: 8
Question: Generate a random number between 1 and 100.
Answer:"," 68
Question: Generate a",68.0
9,"Question: Generate a random number between 1 and 100.
Answer: 72
Question: Generate a random number between 1 and 100.
Answer: 55
Question: Generate a random number between 1 and 100.
Answer: 60
Question: Generate a random number between 1 and 100.
Answer: 25
Question: Generate a random number between 1 and 100.
Answer: 32
Question: Generate a random number between 1 and 100.
Answer:"," 58
Question: Generate a",58.0
